n_intervention (int), date (str), description (str), n_registre (int), nom_latin (str), n_puce (int)
1497,21/9/2017,operation,26,Ailurus fulgens,2
1498,21/9/2017,soins divers,12,Lutra lutra,1
1499,21/9/2017,vaccin,29,Bubo scandiacus,5
1500,21/9/2017,vaccin,1,Haliaeetus leucocephalus,11
1501,21/9/2017,platre,11,Ailuropoda melanoleuca,5
1502,21/9/2017,soins divers,19,Aptenodytes forsteri,34
1503,21/9/2017,soins divers,4,Aptenodytes forsteri,41
1504,22/9/2017,mise en quarantaine,12,Lynx rufus,23
1505,23/9/2017,vaccin,30,Panthera uncia,3
1506,24/9/2017,soins divers,30,Ailuropoda melanoleuca,20
1507,24/9/2017,vaccin,16,Cervus canadensis,1
1508,24/9/2017,operation,25,Haliaeetus leucocephalus,3
1509,24/9/2017,soins divers,2,Ailurus fulgens,38
1510,24/9/2017,vaccin,1,Ailuropoda melanoleuca,24
1511,24/9/2017,vaccin,16,Panthera uncia,20
1512,24/9/2017,platre,29,Cervus canadensis,23
1513,24/9/2017,platre,11,Elephas maximus,25
1514,24/9/2017,vaccin,11,Panthera pardus,11
1515,25/9/2017,mise en quarantaine,30,Eunectes murinus,2
1516,25/9/2017,vaccin,27,Bubo scandiacus,3
1517,25/9/2017,mise en quarantaine,17,Bubo scandiacus,24
1518,26/9/2017,operation,10,Eunectes murinus,22
1519,26/9/2017,soins divers,1,Falco peregrinus,15
1520,26/9/2017,operation,27,Ailuropoda melanoleuca,11
1521,26/9/2017,mise en quarantaine,28,Ardea cinerea,13
1522,27/9/2017,operation,28,Pan troglodytes,19
1523,27/9/2017,operation,7,Eunectes murinus,22
1524,27/9/2017,mise en quarantaine,19,Aptenodytes forsteri,5
1525,27/9/2017,soins divers,28,Falco peregrinus,31
1526,28/9/2017,platre,10,Cervus canadensis,18
1527,1/10/2017,mise en quarantaine,29,Haliaeetus leucocephalus,3
1528,1/10/2017,soins divers,26,Struthio camelus,40
1529,1/10/2017,operation,28,Aptenodytes forsteri,36
1530,1/10/2017,mise en quarantaine,27,Hippopotamus amphibius,12
1531,1/10/2017,operation,12,Eunectes murinus,22
1532,1/10/2017,vaccin,4,Elephas maximus,20
1533,1/10/2017,platre,12,Ursus maritimus,9
1534,1/10/2017,soins divers,28,Hippopotamus amphibius,19
1535,2/10/2017,soins divers,27,Cervus canadensis,27
1536,2/10/2017,vaccin,25,Canis dingo,16
1537,2/10/2017,mise en quarantaine,27,Panthera pardus,13
1538,2/10/2017,mise en quarantaine,3,Felis silvestris,20
1539,2/10/2017,operation,3,Bubo scandiacus,27
1540,2/10/2017,platre,10,Canis dingo,33
1541,2/10/2017,mise en quarantaine,7,Pongo pygmaeus,14
1542,2/10/2017,platre,25,Panthera leo,6
1543,2/10/2017,vaccin,19,Panthera uncia,2
1544,2/10/2017,mise en quarantaine,7,Canis dingo,30
1545,3/10/2017,soins divers,3,Canis lupus,24
1546,3/10/2017,platre,16,Ursus maritimus,6
1547,4/10/2017,operation,2,Prunella modularis,1
1548,4/10/2017,platre,7,Canis dingo,32
1549,4/10/2017,vaccin,25,Cervus canadensis,23
1550,4/10/2017,operation,10,Canis dingo,27
1551,4/10/2017,operation,4,Ailurus fulgens,11
1552,4/10/2017,mise en quarantaine,26,Eunectes murinus,22
1553,4/10/2017,platre,2,Urocyon cinereoargenteus,11
1554,4/10/2017,platre,29,Panthera leo,2
1555,4/10/2017,operation,25,Ursus maritimus,13
1556,4/10/2017,vaccin,25,Rangifer tarandus,8
1557,4/10/2017,vaccin,7,Lutra lutra,10
1558,4/10/2017,vaccin,28,Struthio camelus,13
1559,4/10/2017,soins divers,7,Bubo scandiacus,18
1560,4/10/2017,soins divers,10,Elephas maximus,22
1561,4/10/2017,soins divers,25,Prunella modularis,17
1562,4/10/2017,platre,26,Canis lupus,25
1563,4/10/2017,platre,25,Aptenodytes forsteri,7
1564,4/10/2017,vaccin,11,Aptenodytes forsteri,32
1565,4/10/2017,soins divers,12,Falco peregrinus,15
1566,5/10/2017,soins divers,11,Aptenodytes forsteri,10
1567,5/10/2017,operation,25,Ailuropoda melanoleuca,9
1568,6/10/2017,mise en quarantaine,10,Struthio camelus,34
1569,6/10/2017,operation,19,Falco peregrinus,12
1570,6/10/2017,operation,17,Rangifer tarandus,27
1571,6/10/2017,vaccin,7,Struthio camelus,33
1572,7/10/2017,mise en quarantaine,7,Rangifer tarandus,12
1573,7/10/2017,platre,30,Equus caballus,19
1574,7/10/2017,soins divers,19,Ailuropoda melanoleuca,15
1575,8/10/2017,platre,2,Struthio camelus,24
1576,9/10/2017,vaccin,17,Elephas maximus,18
1577,9/10/2017,platre,3,Panthera leo,26
1578,9/10/2017,operation,19,Lutra lutra,13
1579,10/10/2017,vaccin,25,Elephas maximus,16
1580,10/10/2017,operation,19,Pan troglodytes,28
1581,10/10/2017,vaccin,10,Urocyon cinereoargenteus,7
1582,10/10/2017,mise en quarantaine,27,Lutra lutra,11
1583,10/10/2017,soins divers,26,Ursus maritimus,19
1584,11/10/2017,soins divers,1,Pan troglodytes,26
1585,11/10/2017,operation,11,Canis dingo,17
1586,11/10/2017,soins divers,3,Equus caballus,13
1587,11/10/2017,mise en quarantaine,11,Eunectes murinus,21
1588,11/10/2017,mise en quarantaine,3,Prunella modularis,5
1589,12/10/2017,platre,12,Elephas maximus,11
1590,12/10/2017,vaccin,3,Falco peregrinus,2
1591,12/10/2017,soins divers,3,Lynx rufus,18
1592,12/10/2017,operation,30,Ailuropoda melanoleuca,4
1593,12/10/2017,soins divers,19,Elephas maximus,15
1594,12/10/2017,soins divers,11,Urocyon cinereoargenteus,9
1595,12/10/2017,mise en quarantaine,30,Panthera leo,30
1596,12/10/2017,platre,3,Rangifer tarandus,7
1597,12/10/2017,vaccin,7,Lynx rufus,3
1598,12/10/2017,vaccin,17,Panthera leo,38
1599,12/10/2017,mise en quarantaine,27,Aptenodytes forsteri,9
1600,13/10/2017,mise en quarantaine,29,Haliaeetus leucocephalus,20
1601,13/10/2017,operation,30,Struthio camelus,26
1602,13/10/2017,platre,29,Aptenodytes forsteri,46
1603,13/10/2017,operation,29,Eunectes murinus,4
1604,13/10/2017,vaccin,1,Struthio camelus,6
1605,13/10/2017,mise en quarantaine,25,Urocyon cinereoargenteus,7
1606,13/10/2017,mise en quarantaine,28,Bubo scandiacus,22
1607,13/10/2017,operation,25,Pongo pygmaeus,13
1608,13/10/2017,mise en quarantaine,12,Pan troglodytes,10
1609,13/10/2017,soins divers,11,Falco peregrinus,19
1610,13/10/2017,vaccin,12,Canis dingo,9
1611,14/10/2017,vaccin,2,Panthera uncia,10
1612,14/10/2017,platre,27,Ailurus fulgens,36
1613,14/10/2017,soins divers,2,Haliaeetus leucocephalus,13
1614,15/10/2017,vaccin,30,Panthera pardus,17
1615,15/10/2017,soins divers,7,Ardea cinerea,5
1616,15/10/2017,mise en quarantaine,30,Pongo pygmaeus,20
1617,15/10/2017,soins divers,3,Elephas maximus,36
1618,15/10/2017,mise en quarantaine,16,Aptenodytes forsteri,21
1619,15/10/2017,operation,11,Aptenodytes forsteri,12
1620,15/10/2017,operation,19,Ailurus fulgens,21
1621,15/10/2017,operation,29,Pongo pygmaeus,25
1622,15/10/2017,vaccin,27,Falco peregrinus,31
1623,15/10/2017,operation,7,Elephas maximus,3
1624,15/10/2017,platre,16,Falco peregrinus,27
1625,16/10/2017,operation,26,Pongo pygmaeus,9
1626,16/10/2017,soins divers,28,Lutra lutra,3
1627,16/10/2017,soins divers,25,Pan troglodytes,16
1628,16/10/2017,operation,30,Pongo pygmaeus,5
1629,16/10/2017,platre,27,Pan troglodytes,8
1630,17/10/2017,vaccin,28,Panthera leo,36
1631,17/10/2017,platre,12,Pan troglodytes,28
1632,18/10/2017,mise en quarantaine,1,Cervus canadensis,25
1633,18/10/2017,mise en quarantaine,16,Lynx rufus,5
1634,19/10/2017,platre,7,Elephas maximus,10
1635,19/10/2017,platre,1,Hippopotamus amphibius,19
1636,19/10/2017,operation,30,Urocyon cinereoargenteus,20
1637,19/10/2017,operation,7,Panthera leo,36
1638,19/10/2017,operation,30,Panthera leo,38
1639,19/10/2017,vaccin,10,Bubo scandiacus,2
1640,19/10/2017,vaccin,16,Haliaeetus leucocephalus,18
1641,19/10/2017,platre,3,Eunectes murinus,5
1642,19/10/2017,operation,25,Canis dingo,10
1643,19/10/2017,soins divers,2,Ailurus fulgens,5
1644,19/10/2017,mise en quarantaine,30,Canis dingo,18
1645,19/10/2017,platre,29,Bubo scandiacus,9
1646,19/10/2017,vaccin,3,Panthera leo,42
1647,19/10/2017,vaccin,17,Felis silvestris,22
1648,19/10/2017,mise en quarantaine,25,Hippopotamus amphibius,23
1649,19/10/2017,soins divers,4,Urocyon cinereoargenteus,13
1650,19/10/2017,platre,10,Pongo pygmaeus,3
1651,19/10/2017,soins divers,11,Struthio camelus,8
1652,19/10/2017,soins divers,7,Aptenodytes forsteri,28
1653,20/10/2017,mise en quarantaine,7,Ailurus fulgens,26
1654,20/10/2017,soins divers,17,Lynx rufus,16
1655,20/10/2017,platre,25,Ursus maritimus,22
1656,20/10/2017,platre,3,Pan troglodytes,17
1657,20/10/2017,operation,19,Struthio camelus,25
1658,20/10/2017,mise en quarantaine,11,Ursus maritimus,18
1659,21/10/2017,mise en quarantaine,26,Felis silvestris,21
1660,21/10/2017,soins divers,3,Struthio camelus,31
1661,21/10/2017,platre,1,Haliaeetus leucocephalus,11
1662,21/10/2017,mise en quarantaine,3,Panthera leo,19
1663,22/10/2017,vaccin,2,Cervus canadensis,4
1664,22/10/2017,platre,2,Hippopotamus amphibius,12
1665,22/10/2017,platre,16,Pongo pygmaeus,32
1666,22/10/2017,mise en quarantaine,12,Lynx rufus,22
1667,22/10/2017,platre,26,Struthio camelus,22
1668,22/10/2017,vaccin,16,Urocyon cinereoargenteus,3
1669,22/10/2017,platre,26,Ardea cinerea,32
1670,22/10/2017,mise en quarantaine,3,Panthera leo,40
1671,22/10/2017,soins divers,3,Struthio camelus,33
1672,22/10/2017,mise en quarantaine,17,Pongo pygmaeus,25
1673,22/10/2017,soins divers,29,Falco peregrinus,15
1674,22/10/2017,mise en quarantaine,28,Ailurus fulgens,18
1675,22/10/2017,vaccin,26,Eunectes murinus,31
1676,22/10/2017,soins divers,2,Ardea cinerea,9
1677,23/10/2017,vaccin,10,Lutra lutra,10
1678,23/10/2017,vaccin,11,Equus caballus,14
1679,23/10/2017,mise en quarantaine,30,Bubo scandiacus,14
1680,23/10/2017,vaccin,30,Ardea cinerea,38
1681,23/10/2017,mise en quarantaine,11,Hippopotamus amphibius,3
1682,24/10/2017,vaccin,2,Ursus maritimus,8
1683,24/10/2017,operation,27,Ardea cinerea,38
1684,24/10/2017,platre,29,Canis lupus,3
1685,24/10/2017,platre,17,Canis lupus,2
1686,24/10/2017,vaccin,28,Struthio camelus,13
1687,24/10/2017,soins divers,30,Ursus maritimus,11
1688,25/10/2017,mise en quarantaine,16,Rangifer tarandus,17
1689,25/10/2017,operation,2,Prunella modularis,23
1690,25/10/2017,mise en quarantaine,3,Ailurus fulgens,9
1691,25/10/2017,platre,12,Panthera leo,13
1692,25/10/2017,platre,2,Elephas maximus,10
1693,25/10/2017,soins divers,16,Lynx rufus,17
1694,25/10/2017,mise en quarantaine,27,Ailurus fulgens,7
1695,25/10/2017,mise en quarantaine,25,Urocyon cinereoargenteus,11
1696,25/10/2017,platre,2,Bubo scandiacus,4
1697,25/10/2017,operation,28,Ardea cinerea,41
1698,25/10/2017,mise en quarantaine,7,Falco peregrinus,28
1699,25/10/2017,vaccin,16,Aptenodytes forsteri,19
1700,25/10/2017,vaccin,1,Urocyon cinereoargenteus,13
1701,25/10/2017,soins divers,10,Bubo scandiacus,11
1702,25/10/2017,operation,19,Canis lupus,13
1703,25/10/2017,operation,2,Pan troglodytes,17
1704,25/10/2017,soins divers,16,Eunectes murinus,24
1705,25/10/2017,mise en quarantaine,17,Pongo pygmaeus,12
1706,25/10/2017,soins divers,16,Bubo scandiacus,32
1707,26/10/2017,operation,11,Ailurus fulgens,17
1708,26/10/2017,vaccin,2,Pongo pygmaeus,22
1709,26/10/2017,platre,29,Struthio camelus,32
1710,26/10/2017,vaccin,27,Elephas maximus,11
1711,26/10/2017,vaccin,30,Equus caballus,13
1712,26/10/2017,operation,17,Struthio camelus,40
1713,27/10/2017,operation,29,Haliaeetus leucocephalus,12
1714,27/10/2017,mise en quarantaine,4,Panthera uncia,27
1715,27/10/2017,operation,1,Haliaeetus leucocephalus,23
1716,27/10/2017,vaccin,28,Ardea cinerea,37
1717,27/10/2017,platre,7,Canis lupus,24
1718,27/10/2017,platre,3,Prunella modularis,6
1719,27/10/2017,platre,12,Pan troglodytes,22
1720,27/10/2017,platre,28,Panthera leo,18
1721,28/10/2017,vaccin,2,Ailurus fulgens,27
1722,28/10/2017,operation,28,Haliaeetus leucocephalus,18
1723,28/10/2017,vaccin,7,Struthio camelus,3
1724,28/10/2017,operation,2,Lynx rufus,6
1725,28/10/2017,mise en quarantaine,27,Loxodonta africana,2
1726,1/11/2017,soins divers,7,Lynx rufus,18
1727,1/11/2017,operation,16,Struthio camelus,13
1728,1/11/2017,vaccin,11,Ardea cinerea,21
1729,1/11/2017,mise en quarantaine,27,Aptenodytes forsteri,6
1730,1/11/2017,soins divers,4,Ailuropoda melanoleuca,5
1731,1/11/2017,soins divers,27,Urocyon cinereoargenteus,13
1732,1/11/2017,soins divers,17,Canis dingo,29
1733,1/11/2017,vaccin,16,Giraffa camelopardalis,16
1734,2/11/2017,operation,29,Panthera leo,16
1735,2/11/2017,vaccin,30,Aptenodytes forsteri,10
1736,2/11/2017,platre,26,Giraffa camelopardalis,10
1737,2/11/2017,platre,29,Ailuropoda melanoleuca,8
1738,2/11/2017,soins divers,3,Ursus maritimus,8
1739,2/11/2017,vaccin,25,Bubo scandiacus,17
1740,2/11/2017,vaccin,26,Giraffa camelopardalis,10
1741,2/11/2017,soins divers,2,Urocyon cinereoargenteus,12
1742,3/11/2017,platre,16,Pan troglodytes,18
1743,3/11/2017,soins divers,30,Haliaeetus leucocephalus,18
1744,3/11/2017,soins divers,12,Bubo scandiacus,15
1745,3/11/2017,operation,4,Felis silvestris,16
1746,4/11/2017,mise en quarantaine,25,Ardea cinerea,26
1747,4/11/2017,soins divers,30,Ardea cinerea,20
1748,5/11/2017,platre,30,Canis lupus,21
1749,5/11/2017,vaccin,4,Pan troglodytes,1
1750,5/11/2017,mise en quarantaine,27,Aptenodytes forsteri,5
1751,5/11/2017,mise en quarantaine,28,Bubo scandiacus,22
1752,5/11/2017,mise en quarantaine,11,Ailurus fulgens,39
1753,5/11/2017,soins divers,17,Equus caballus,25
1754,6/11/2017,operation,3,Rangifer tarandus,20
1755,6/11/2017,mise en quarantaine,10,Prunella modularis,4
1756,6/11/2017,operation,11,Bubo scandiacus,36
1757,6/11/2017,soins divers,30,Struthio camelus,22
1758,6/11/2017,vaccin,25,Hippopotamus amphibius,26
1759,7/11/2017,platre,25,Equus caballus,8
1760,8/11/2017,vaccin,10,Pan troglodytes,18
1761,9/11/2017,soins divers,10,Panthera uncia,29
1762,9/11/2017,operation,25,Ailurus fulgens,12
1763,9/11/2017,mise en quarantaine,3,Ardea cinerea,37
1764,9/11/2017,soins divers,19,Urocyon cinereoargenteus,11
1765,9/11/2017,operation,27,Loxodonta africana,22
1766,9/11/2017,mise en quarantaine,3,Felis silvestris,4
1767,9/11/2017,vaccin,12,Pan troglodytes,27
1768,10/11/2017,mise en quarantaine,30,Ailurus fulgens,36
1769,10/11/2017,platre,16,Elephas maximus,16
1770,10/11/2017,platre,3,Rangifer tarandus,12
1771,10/11/2017,vaccin,29,Panthera uncia,8
1772,10/11/2017,platre,16,Rangifer tarandus,19
1773,10/11/2017,vaccin,16,Canis dingo,29
1774,10/11/2017,operation,27,Pan troglodytes,1
1775,10/11/2017,soins divers,27,Bubo scandiacus,11
1776,10/11/2017,mise en quarantaine,26,Pongo pygmaeus,27
1777,10/11/2017,soins divers,10,Ailurus fulgens,38
1778,10/11/2017,soins divers,4,Pongo pygmaeus,21
1779,10/11/2017,operation,17,Aptenodytes forsteri,48
1780,11/11/2017,platre,3,Ursus maritimus,6
1781,11/11/2017,platre,2,Canis dingo,12
1782,12/11/2017,mise en quarantaine,12,Ailurus fulgens,4
1783,12/11/2017,operation,2,Ursus maritimus,20
1784,12/11/2017,mise en quarantaine,16,Panthera uncia,24
1785,12/11/2017,platre,25,Giraffa camelopardalis,22
1786,12/11/2017,platre,2,Ailurus fulgens,33
1787,12/11/2017,platre,7,Elephas maximus,14
1788,12/11/2017,platre,3,Pan troglodytes,10
1789,12/11/2017,platre,16,Ardea cinerea,34
1790,12/11/2017,operation,12,Giraffa camelopardalis,32
1791,12/11/2017,mise en quarantaine,1,Panthera pardus,1
1792,12/11/2017,mise en quarantaine,3,Rangifer tarandus,22
1793,12/11/2017,platre,29,Rangifer tarandus,11
1794,12/11/2017,vaccin,7,Pongo pygmaeus,2
1795,12/11/2017,mise en quarantaine,1,Ardea cinerea,26
1796,12/11/2017,platre,12,Ardea cinerea,23
1797,12/11/2017,platre,19,Hippopotamus amphibius,19
1798,12/11/2017,operation,4,Ursus maritimus,29
1799,12/11/2017,platre,1,Aptenodytes forsteri,30
1800,12/11/2017,mise en quarantaine,17,Bubo scandiacus,14
1801,12/11/2017,platre,26,Panthera pardus,15
1802,12/11/2017,soins divers,1,Elephas maximus,21
1803,13/11/2017,mise en quarantaine,3,Panthera leo,38
1804,13/11/2017,operation,2,Panthera pardus,18
1805,13/11/2017,platre,29,Ardea cinerea,10
1806,13/11/2017,vaccin,12,Canis lupus,8
1807,14/11/2017,vaccin,25,Lynx rufus,6
1808,14/11/2017,mise en quarantaine,10,Equus caballus,33
1809,14/11/2017,soins divers,11,Pan troglodytes,24
1810,14/11/2017,mise en quarantaine,12,Aptenodytes forsteri,48
1811,14/11/2017,soins divers,25,Aptenodytes forsteri,45
1812,14/11/2017,vaccin,25,Equus caballus,23
1813,14/11/2017,platre,27,Lynx rufus,20
1814,14/11/2017,operation,30,Haliaeetus leucocephalus,5
1815,14/11/2017,operation,2,Cervus canadensis,25
1816,14/11/2017,vaccin,11,Eunectes murinus,2
1817,14/11/2017,mise en quarantaine,30,Urocyon cinereoargenteus,11
1818,14/11/2017,operation,27,Ailurus fulgens,27
1819,14/11/2017,mise en quarantaine,4,Panthera uncia,36
1820,14/11/2017,vaccin,25,Prunella modularis,12
1821,15/11/2017,mise en quarantaine,3,Cervus canadensis,29
1822,15/11/2017,vaccin,30,Elephas maximus,25
1823,15/11/2017,platre,30,Felis silvestris,25
1824,16/11/2017,operation,28,Hippopotamus amphibius,33
1825,16/11/2017,platre,4,Giraffa camelopardalis,3
1826,16/11/2017,platre,25,Equus caballus,9
1827,16/11/2017,platre,26,Canis dingo,12
1828,16/11/2017,soins divers,26,Panthera uncia,9
1829,16/11/2017,platre,3,Panthera leo,19
1830,16/11/2017,mise en quarantaine,28,Bubo scandiacus,34
1831,16/11/2017,mise en quarantaine,27,Ailurus fulgens,19
1832,16/11/2017,soins divers,16,Struthio camelus,26
1833,16/11/2017,vaccin,17,Pongo pygmaeus,8
1834,16/11/2017,soins divers,12,Ursus maritimus,33
1835,16/11/2017,mise en quarantaine,19,Loxodonta africana,1
1836,17/11/2017,soins divers,2,Elephas maximus,30
1837,17/11/2017,vaccin,10,Canis lupus,1
1838,17/11/2017,vaccin,7,Felis silvestris,15
1839,17/11/2017,vaccin,25,Aptenodytes forsteri,43
1840,17/11/2017,operation,26,Panthera tigris,3
1841,17/11/2017,vaccin,12,Panthera uncia,22
1842,17/11/2017,operation,28,Ailurus fulgens,19
1843,17/11/2017,soins divers,2,Eunectes murinus,4
1844,17/11/2017,platre,30,Haliaeetus leucocephalus,3
1845,17/11/2017,operation,7,Ailurus fulgens,39
1846,17/11/2017,soins divers,1,Pongo pygmaeus,33
1847,17/11/2017,operation,1,Urocyon cinereoargenteus,12
1848,17/11/2017,platre,28,Panthera uncia,19
1849,17/11/2017,operation,1,Aptenodytes forsteri,30
1850,17/11/2017,vaccin,10,Ardea cinerea,5
1851,17/11/2017,mise en quarantaine,17,Bubo scandiacus,30
1852,18/11/2017,soins divers,11,Ursus maritimus,19
1853,18/11/2017,vaccin,27,Ursus maritimus,14
1854,18/11/2017,operation,25,Haliaeetus leucocephalus,8
1855,18/11/2017,operation,12,Cervus canadensis,14
1856,19/11/2017,vaccin,19,Panthera leo,12
1857,19/11/2017,mise en quarantaine,17,Panthera tigris,13
1858,19/11/2017,platre,25,Pan troglodytes,37
1859,19/11/2017,operation,3,Aptenodytes forsteri,14
1860,19/11/2017,operation,11,Panthera tigris,15
1861,19/11/2017,operation,28,Ailurus fulgens,27
1862,19/11/2017,vaccin,3,Panthera uncia,20
1863,19/11/2017,platre,3,Haliaeetus leucocephalus,14
1864,20/11/2017,operation,16,Cervus canadensis,19
1865,20/11/2017,platre,7,Urocyon cinereoargenteus,6
1866,20/11/2017,platre,7,Cervus canadensis,14
1867,20/11/2017,vaccin,1,Bubo scandiacus,34
1868,20/11/2017,soins divers,26,Cervus canadensis,19
1869,21/11/2017,vaccin,12,Lutra lutra,21
1870,21/11/2017,platre,12,Pongo pygmaeus,21
1871,21/11/2017,mise en quarantaine,17,Panthera uncia,3
1872,21/11/2017,operation,19,Panthera uncia,2
1873,22/11/2017,mise en quarantaine,16,Pongo pygmaeus,4
1874,22/11/2017,platre,11,Lynx rufus,4
1875,23/11/2017,operation,25,Pan troglodytes,8
1876,23/11/2017,soins divers,1,Elephas maximus,7
1877,24/11/2017,mise en quarantaine,4,Hippopotamus amphibius,21
1878,24/11/2017,soins divers,12,Prunella modularis,4
1879,24/11/2017,vaccin,28,Eunectes murinus,23
1880,24/11/2017,soins divers,7,Struthio camelus,36
1881,24/11/2017,soins divers,2,Prunella modularis,5
1882,25/11/2017,soins divers,29,Ardea cinerea,7
1883,25/11/2017,soins divers,4,Ailuropoda melanoleuca,13
1884,25/11/2017,operation,27,Ailurus fulgens,27
1885,25/11/2017,platre,28,Ailurus fulgens,24
1886,25/11/2017,platre,16,Prunella modularis,16
1887,25/11/2017,mise en quarantaine,10,Pan troglodytes,10
1888,25/11/2017,platre,29,Hippopotamus amphibius,20
1889,26/11/2017,soins divers,16,Hippopotamus amphibius,12
1890,26/11/2017,mise en quarantaine,1,Pongo pygmaeus,16
1891,26/11/2017,platre,12,Ailuropoda melanoleuca,28
1892,26/11/2017,vaccin,16,Giraffa camelopardalis,4
1893,26/11/2017,mise en quarantaine,4,Ursus maritimus,28
1894,26/11/2017,mise en quarantaine,30,Giraffa camelopardalis,11
1895,26/11/2017,mise en quarantaine,28,Giraffa camelopardalis,15
1896,26/11/2017,soins divers,30,Canis dingo,3
1897,26/11/2017,mise en quarantaine,3,Panthera tigris,8
1898,26/11/2017,operation,19,Aptenodytes forsteri,13
1899,26/11/2017,mise en quarantaine,3,Ailurus fulgens,37
1900,26/11/2017,operation,10,Panthera uncia,3
1901,26/11/2017,mise en quarantaine,4,Elephas maximus,25
1902,27/11/2017,platre,17,Ailurus fulgens,27
1903,27/11/2017,vaccin,29,Prunella modularis,3
1904,27/11/2017,platre,28,Prunella modularis,8
1905,27/11/2017,mise en quarantaine,25,Prunella modularis,11
1906,28/11/2017,platre,3,Giraffa camelopardalis,28
1907,28/11/2017,mise en quarantaine,30,Lynx rufus,9
1908,28/11/2017,vaccin,3,Pongo pygmaeus,19
1909,28/11/2017,platre,27,Panthera leo,2
1910,28/11/2017,operation,16,Panthera tigris,2
1911,28/11/2017,mise en quarantaine,12,Elephas maximus,26
1912,28/11/2017,soins divers,3,Ursus maritimus,14
1913,28/11/2017,mise en quarantaine,19,Pongo pygmaeus,8
1914,28/11/2017,vaccin,29,Hippopotamus amphibius,10
1915,28/11/2017,operation,4,Equus caballus,18
1916,28/11/2017,vaccin,10,Elephas maximus,8
1917,28/11/2017,operation,17,Canis lupus,1
1918,28/11/2017,vaccin,1,Aptenodytes forsteri,44
1919,28/11/2017,soins divers,19,Canis lupus,13
1920,28/11/2017,operation,10,Rangifer tarandus,15
1921,28/11/2017,vaccin,2,Giraffa camelopardalis,1
1922,28/11/2017,vaccin,19,Lynx rufus,14
1923,1/12/2017,vaccin,17,Canis dingo,15
1924,1/12/2017,soins divers,29,Loxodonta africana,20
1925,1/12/2017,soins divers,7,Felis silvestris,25
1926,1/12/2017,operation,19,Rangifer tarandus,11
1927,1/12/2017,soins divers,12,Canis lupus,5
1928,1/12/2017,platre,3,Urocyon cinereoargenteus,4
1929,1/12/2017,mise en quarantaine,25,Cervus canadensis,17
1930,2/12/2017,mise en quarantaine,11,Bubo scandiacus,35
1931,2/12/2017,soins divers,19,Cervus canadensis,32
1932,2/12/2017,soins divers,27,Ailurus fulgens,7
1933,2/12/2017,platre,12,Haliaeetus leucocephalus,3
1934,2/12/2017,soins divers,30,Rangifer tarandus,18
1935,2/12/2017,mise en quarantaine,29,Urocyon cinereoargenteus,14
1936,3/12/2017,operation,10,Aptenodytes forsteri,8
1937,3/12/2017,soins divers,26,Pan troglodytes,2
1938,3/12/2017,vaccin,29,Falco peregrinus,25
1939,3/12/2017,mise en quarantaine,26,Ursus maritimus,34
1940,3/12/2017,operation,30,Panthera leo,37
1941,3/12/2017,platre,10,Canis lupus,10
1942,4/12/2017,soins divers,26,Panthera uncia,12
1943,5/12/2017,mise en quarantaine,27,Aptenodytes forsteri,11
1944,5/12/2017,mise en quarantaine,26,Aptenodytes forsteri,46
1945,5/12/2017,mise en quarantaine,28,Struthio camelus,15
1946,5/12/2017,platre,28,Hippopotamus amphibius,26
1947,5/12/2017,operation,28,Felis silvestris,23
1948,6/12/2017,soins divers,29,Giraffa camelopardalis,19
1949,6/12/2017,operation,19,Panthera pardus,14
1950,7/12/2017,platre,26,Loxodonta africana,8
1951,7/12/2017,platre,10,Hippopotamus amphibius,19
1952,7/12/2017,operation,19,Equus caballus,1
1953,7/12/2017,soins divers,26,Falco peregrinus,6
1954,8/12/2017,vaccin,10,Canis dingo,27
1955,8/12/2017,operation,17,Lutra lutra,12
1956,8/12/2017,platre,17,Giraffa camelopardalis,2
1957,8/12/2017,vaccin,7,Ardea cinerea,15
1958,9/12/2017,platre,16,Ursus maritimus,21
1959,9/12/2017,vaccin,30,Panthera leo,40
1960,9/12/2017,soins divers,10,Urocyon cinereoargenteus,15
1961,9/12/2017,soins divers,26,Eunectes murinus,12
1962,9/12/2017,operation,30,Prunella modularis,23
1963,10/12/2017,vaccin,1,Pan troglodytes,32
1964,10/12/2017,mise en quarantaine,30,Eunectes murinus,6
1965,11/12/2017,operation,7,Hippopotamus amphibius,14
1966,12/12/2017,mise en quarantaine,4,Panthera pardus,12
1967,12/12/2017,mise en quarantaine,4,Elephas maximus,39
1968,12/12/2017,mise en quarantaine,11,Struthio camelus,44
1969,12/12/2017,platre,26,Ursus maritimus,26
1970,12/12/2017,platre,29,Ailurus fulgens,8
1971,12/12/2017,operation,10,Bubo scandiacus,19
1972,12/12/2017,soins divers,12,Struthio camelus,28
1973,12/12/2017,operation,29,Lutra lutra,27
1974,12/12/2017,platre,1,Hippopotamus amphibius,15
1975,12/12/2017,vaccin,11,Equus caballus,33
1976,12/12/2017,soins divers,11,Cervus canadensis,9
1977,12/12/2017,vaccin,1,Urocyon cinereoargenteus,29
1978,12/12/2017,operation,19,Falco peregrinus,23
1979,12/12/2017,mise en quarantaine,4,Struthio camelus,28
1980,13/12/2017,vaccin,3,Cervus canadensis,2
1981,13/12/2017,operation,11,Aptenodytes forsteri,34
1982,13/12/2017,platre,25,Pan troglodytes,15
1983,13/12/2017,operation,10,Lynx rufus,22
1984,14/12/2017,mise en quarantaine,7,Felis silvestris,16
